,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,cb_person_default_on_file,cb_person_cred_hist_length
50,26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,False,True,2
51,25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,False,False,4
52,25,12600,OWN,3.0,PERSONAL,C,1750,13.61,False,False,3
53,24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,11.12,True,False,3
54,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,True,True,4
55,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,True,False,3
56,26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,False,False,4
57,25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,False,True,2
58,26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,True,False,2
59,24,225000,RENT,0.0,MEDICAL,B,6000,11.12,False,False,4
60,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,True,False,4
61,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,True,True,2
62,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,True,False,4
63,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,True,False,3
64,22,12996,OWN,1.0,EDUCATION,B,4750,11.12,True,False,3
65,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,True,True,3
66,25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,False,False,2
67,26,225000,RENT,1.0,EDUCATION,A,3000,9.32,False,False,4
68,26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,False,False,2
69,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,True,False,3
70,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,True,False,2
71,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,True,False,2
72,23,50000,RENT,1.0,VENTURE,B,25000,11.83,True,False,4
73,22,50004,RENT,0.0,VENTURE,B,25000,10.36,True,False,2
74,22,50004,RENT,3.0,VENTURE,C,25000,12.23,True,False,3
75,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,True,False,4
76,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,True,False,4
77,24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,False,False,2
78,25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,False,False,3
79,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,True,False,2
80,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,True,False,4
81,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,True,True,2
82,23,47000,RENT,1.0,VENTURE,E,25000,17.93,True,False,2
83,23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,False,False,4
84,21,13200,OWN,0.0,VENTURE,C,4500,12.98,True,False,4
85,26,48000,RENT,5.0,VENTURE,F,25000,18.43,True,False,2
86,24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,11.12,True,True,4
87,23,55000,RENT,4.0,EDUCATION,B,25000,11.36,True,False,3
88,23,55000,RENT,4.0,EDUCATION,D,25000,15.65,True,True,3
89,26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,True,False,2
90,23,13920,OWN,2.0,PERSONAL,E,7750,17.04,True,False,4
91,24,60000,RENT,0.0,PERSONAL,B,25000,10.99,True,False,3
92,24,60000,RENT,2.0,PERSONAL,B,25000,11.11,True,False,3
93,26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,True,True,2
94,23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,11.12,True,False,3
95,25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,True,False,4
96,23,60000,RENT,3.0,PERSONAL,C,25000,12.73,True,False,3
97,22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,True,True,3
98,21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,False,False,2
99,24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,False,False,4
100,26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,False,False,3
101,25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,False,False,2
102,24,66000,RENT,3.0,EDUCATION,B,25000,9.91,True,False,2
103,25,200000,RENT,5.0,EDUCATION,D,18000,16.32,False,False,3
104,25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,False,False,2
105,24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,11.12,True,True,2
106,21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,11.12,True,False,4
107,23,67000,RENT,3.0,EDUCATION,A,25000,7.9,True,False,4
108,24,67000,RENT,2.0,VENTURE,B,25000,10.99,True,False,3
109,24,68000,RENT,5.0,PERSONAL,D,25000,14.09,True,True,3
110,25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,False,False,3
111,26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,False,False,3
112,22,14400,OWN,2.0,MEDICAL,B,4000,10.99,True,False,3
113,24,70000,RENT,3.0,EDUCATION,B,25000,11.86,True,False,4
114,24,14400,OWN,5.0,PERSONAL,A,6000,7.49,True,False,3
115,26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,True,False,4
116,23,74000,RENT,3.0,MEDICAL,B,25000,10.36,True,False,3
117,24,192000,RENT,0.0,MEDICAL,C,22000,11.12,False,True,2
118,25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,False,False,4
119,26,190300,MORTGAGE,5.0,PERSONAL,A,15000,11.12,False,False,3
120,22,190000,MORTGAGE,3.0,VENTURE,C,10000,11.12,False,False,3
121,24,75000,RENT,4.0,EDUCATION,B,25000,10.25,True,False,4
122,22,71000,RENT,1.0,EDUCATION,D,25000,15.95,True,True,4
123,26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,False,False,4
124,23,189996,OWN,0.0,PERSONAL,B,24000,11.83,False,False,3
125,23,78000,RENT,1.0,VENTURE,B,25000,10.62,True,False,3
126,25,185000,RENT,6.0,VENTURE,C,15000,15.27,False,False,2
127,24,79632,RENT,0.0,EDUCATION,C,25000,13.35,True,False,4
128,21,14400,MORTGAGE,0.0,MEDICAL,C,1500,11.12,False,False,4
129,26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,True,False,4
130,24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,False,False,3
131,22,183000,MORTGAGE,3.0,EDUCATION,A,1000,11.12,False,False,2
132,25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,True,False,3
133,23,81600,RENT,1.0,MEDICAL,B,25000,11.36,True,False,3
134,24,83000,RENT,5.0,EDUCATION,B,25000,11.12,False,False,3
135,24,83000,RENT,5.0,PERSONAL,D,25000,12.92,False,True,3
136,23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,True,False,2
137,22,14400,OWN,0.0,PERSONAL,B,2100,11.14,False,False,4
138,24,85000,RENT,5.0,MEDICAL,B,25000,10.62,False,False,4
139,26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,False,False,4
140,23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,11.12,True,False,4
141,24,75000,RENT,0.0,VENTURE,E,25000,14.7,True,True,3
142,23,66215,RENT,1.0,MEDICAL,D,25000,15.37,True,True,2
143,21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,True,False,2
144,26,180000,OWN,2.0,PERSONAL,B,25000,10.99,False,False,4
145,26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,False,False,4
146,25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,False,False,2
147,23,78000,RENT,2.0,VENTURE,D,25000,16.32,True,True,3
148,25,66300,RENT,3.0,MEDICAL,E,25000,17.93,True,True,4
149,23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,False,False,3
150,24,91800,RENT,4.0,PERSONAL,C,25000,13.43,False,True,3
151,25,92000,RENT,6.0,HOMEIMPROVEMENT,B,25000,12.69,False,False,3
152,24,92000,RENT,1.0,VENTURE,C,25000,12.73,False,True,4
153,23,93600,RENT,3.0,VENTURE,D,25000,15.21,False,False,4
154,23,15000,MORTGAGE,1.0,MEDICAL,C,1750,12.68,False,True,3
155,23,70550,RENT,3.0,MEDICAL,F,25000,19.04,True,True,4
156,25,83800,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.95,True,True,3
157,26,175000,MORTGAGE,3.0,VENTURE,A,2600,8.9,False,False,4
158,23,15000,OWN,4.0,DEBTCONSOLIDATION,C,4000,13.98,True,False,4
159,23,15000,OWN,4.0,VENTURE,B,4600,10.99,True,False,2
160,25,74800,RENT,2.0,MEDICAL,B,25000,10.99,True,False,2
161,25,88000,RENT,0.0,VENTURE,D,25000,14.96,True,False,4
162,25,15000,OWN,2.0,HOMEIMPROVEMENT,D,1750,15.31,False,True,4
163,26,88000,RENT,2.0,VENTURE,D,25000,15.65,True,False,3
164,25,100000,RENT,1.0,VENTURE,B,25000,9.33,False,False,4
165,23,15000,MORTGAGE,0.0,PERSONAL,C,3600,13.47,True,False,4
166,24,92000,RENT,1.0,HOMEIMPROVEMENT,E,25000,16.77,True,True,4
167,23,93000,RENT,0.0,DEBTCONSOLIDATION,D,25000,14.59,True,True,2
168,23,175000,MORTGAGE,3.0,EDUCATION,A,7200,8.38,False,False,3
169,25,174000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,8800,14.27,False,False,3
170,25,162000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,25000,16.0,True,True,3
171,21,15000,OWN,0.0,HOMEIMPROVEMENT,C,3175,11.54,True,True,3
172,25,96000,RENT,2.0,HOMEIMPROVEMENT,E,25000,15.68,True,True,4
173,21,15120,MORTGAGE,0.0,EDUCATION,B,1500,10.59,False,False,2
174,26,110000,RENT,3.0,PERSONAL,C,25000,11.12,False,True,2
175,25,159600,RENT,0.0,PERSONAL,D,30000,17.27,True,True,4
176,25,170004,MORTGAGE,3.0,MEDICAL,B,10000,11.11,False,False,4
177,24,158004,RENT,0.0,HOMEIMPROVEMENT,D,25000,14.59,True,True,2
178,26,170000,RENT,0.0,VENTURE,B,13000,12.42,False,False,3
179,24,83300,RENT,0.0,MEDICAL,D,25000,11.12,True,False,2
180,25,134300,RENT,3.0,MEDICAL,D,5000,16.49,True,False,2
181,25,170000,MORTGAGE,2.0,EDUCATION,A,20000,7.49,False,False,2
182,25,120000,RENT,6.0,MEDICAL,B,25000,10.74,False,False,2
183,24,91800,RENT,5.0,MEDICAL,D,25000,15.33,True,True,2
184,26,108000,RENT,2.0,PERSONAL,D,25000,15.05,True,False,3
185,26,129996,RENT,6.0,PERSONAL,B,25000,10.75,False,False,3
186,23,130000,RENT,4.0,EDUCATION,D,25000,16.02,False,True,2
187,25,170000,OWN,4.0,EDUCATION,B,20000,12.53,False,False,4
188,26,170000,MORTGAGE,0.0,VENTURE,C,12000,13.57,False,True,2
189,22,169000,RENT,1.0,PERSONAL,B,14000,11.14,False,False,3
190,23,168600,RENT,3.0,EDUCATION,B,20000,11.58,False,False,3
191,24,168288,RENT,5.0,HOMEIMPROVEMENT,B,1800,11.12,False,False,3
192,25,168000,MORTGAGE,2.0,PERSONAL,B,35000,10.65,False,False,2
193,24,15600,OWN,5.0,HOMEIMPROVEMENT,A,3300,6.39,True,False,4
194,25,15600,OWN,0.0,VENTURE,F,3200,18.09,True,False,2
195,25,135000,RENT,5.0,EDUCATION,B,25000,11.36,False,False,4
196,25,145000,RENT,0.0,EDUCATION,B,25000,9.99,False,False,4
197,23,150000,RENT,4.0,EDUCATION,B,25000,10.36,False,False,3
198,23,165000,MORTGAGE,3.0,EDUCATION,A,9600,5.99,False,False,3
199,24,165000,MORTGAGE,5.0,PERSONAL,B,20000,10.37,False,False,4
200,25,165000,MORTGAGE,0.0,HOMEIMPROVEMENT,F,25000,19.74,False,False,4
201,23,16000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,2275,13.06,False,True,4
202,23,148000,RENT,1.0,DEBTCONSOLIDATION,E,25000,14.93,True,False,3
203,23,16000,MORTGAGE,1.0,MEDICAL,C,5600,12.84,True,False,4
204,24,16020,OWN,3.0,VENTURE,E,3625,17.14,True,True,2
205,22,16094,MORTGAGE,2.0,VENTURE,A,5500,7.14,True,False,3
206,25,175000,RENT,2.0,PERSONAL,A,25000,8.9,False,False,2
207,22,160000,MORTGAGE,0.0,MEDICAL,B,35000,10.65,False,False,4
208,25,225000,RENT,5.0,VENTURE,B,25000,11.86,False,False,4
209,25,16400,OWN,1.0,PERSONAL,A,5000,8.94,True,False,4
210,25,49500,RENT,6.0,PERSONAL,C,24750,14.22,True,False,3
211,23,60000,RENT,4.0,DEBTCONSOLIDATION,B,24750,9.33,True,False,3
212,25,160000,MORTGAGE,1.0,PERSONAL,B,12000,9.63,False,False,4
213,26,160000,RENT,6.0,PERSONAL,C,25000,12.23,False,True,4
214,25,125800,MORTGAGE,0.0,MEDICAL,D,10000,14.09,True,False,4
215,25,54000,RENT,2.0,PERSONAL,C,24250,13.98,True,False,4
216,23,62500,RENT,1.0,EDUCATION,B,24250,10.62,True,False,4
217,26,56045,RENT,1.0,MEDICAL,D,24250,14.96,True,False,2
218,24,89908,RENT,1.0,VENTURE,B,24250,12.53,False,False,3
219,26,78000,RENT,0.0,HOMEIMPROVEMENT,E,24250,17.56,True,True,3
220,23,100000,RENT,0.0,PERSONAL,C,24250,12.87,False,True,2
221,25,160000,MORTGAGE,2.0,EDUCATION,A,9000,11.12,False,False,3
222,25,160000,OWN,5.0,VENTURE,B,15000,11.14,False,False,4
223,24,160000,MORTGAGE,3.0,VENTURE,D,20000,16.0,False,False,3
224,23,160000,MORTGAGE,2.0,EDUCATION,D,25000,15.65,False,True,2
225,26,160000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,13750,11.12,False,False,4
226,25,160000,MORTGAGE,3.0,VENTURE,C,20000,13.47,False,True,2
227,22,16800,MORTGAGE,0.0,HOMEIMPROVEMENT,C,4750,13.85,True,True,2
228,21,16800,MORTGAGE,0.0,VENTURE,B,6000,10.39,True,False,4
229,25,115200,RENT,0.0,HOMEIMPROVEMENT,B,24250,11.36,False,False,2
230,23,144000,RENT,0.0,EDUCATION,B,24250,11.83,False,False,3
231,23,287000,RENT,3.0,EDUCATION,B,24250,12.53,False,False,3
232,22,108000,RENT,1.0,HOMEIMPROVEMENT,D,24150,14.96,True,True,3
233,23,47004,RENT,1.0,VENTURE,B,24000,11.58,True,False,4
234,24,48000,RENT,4.0,VENTURE,D,24000,16.29,True,True,2
235,26,48000,RENT,4.0,MEDICAL,A,24000,11.12,True,False,3
236,21,44964,RENT,2.0,EDUCATION,D,24000,16.29,True,True,2
237,24,47000,RENT,3.0,PERSONAL,F,24000,17.8,True,False,2
238,22,49000,RENT,2.0,MEDICAL,E,24000,17.56,True,False,4
239,26,60000,RENT,0.0,PERSONAL,A,24000,7.9,True,False,4
240,25,60000,RENT,3.0,PERSONAL,B,24000,10.99,True,False,4
241,22,60000,RENT,0.0,PERSONAL,A,24000,7.29,True,False,3
242,22,62400,RENT,3.0,EDUCATION,D,24000,14.84,True,False,2
243,24,60000,RENT,0.0,VENTURE,D,24000,14.96,True,False,4
244,22,62250,RENT,3.0,PERSONAL,E,24000,16.45,True,True,4
245,22,18000,OWN,3.0,PERSONAL,A,3000,7.9,True,False,4
246,26,69000,RENT,0.0,DEBTCONSOLIDATION,F,24000,15.83,True,False,3
247,23,78000,RENT,4.0,PERSONAL,C,24000,13.92,True,False,3
248,24,80000,RENT,2.0,MEDICAL,B,24000,10.25,False,False,2
249,22,18000,OWN,1.0,HOMEIMPROVEMENT,A,3500,7.49,True,False,4
250,23,18000,OWN,3.0,EDUCATION,A,4000,5.99,True,False,2
251,26,88596,RENT,3.0,PERSONAL,B,24000,11.58,False,False,3
252,25,95000,RENT,4.0,EDUCATION,A,24000,8.9,False,False,2
253,26,100000,RENT,5.0,PERSONAL,C,24000,12.73,False,False,4
254,24,18000,OWN,0.0,HOMEIMPROVEMENT,A,6250,6.54,True,False,4
255,26,103872,RENT,6.0,DEBTCONSOLIDATION,G,24000,20.03,True,False,4
256,24,120000,RENT,1.0,VENTURE,B,24000,12.69,False,False,4
257,24,124080,RENT,4.0,PERSONAL,D,24000,16.49,False,True,4
258,23,18000,MORTGAGE,1.0,MEDICAL,D,2500,15.95,True,False,2
259,24,135000,RENT,4.0,HOMEIMPROVEMENT,C,24000,13.79,False,False,2
260,23,114750,RENT,2.0,MEDICAL,G,24000,20.03,True,True,3
261,23,150000,RENT,0.0,EDUCATION,A,24000,7.49,False,False,4
262,21,18000,OWN,0.0,VENTURE,B,6250,10.62,True,False,4
263,26,155000,RENT,7.0,DEBTCONSOLIDATION,B,24000,10.99,False,False,4
264,26,148000,RENT,1.0,EDUCATION,F,24000,18.3,True,False,2
265,26,170000,RENT,3.0,DEBTCONSOLIDATION,C,24000,11.12,False,True,2
266,21,18000,OWN,1.0,PERSONAL,B,2500,11.36,False,False,3
267,23,120000,RENT,4.0,MEDICAL,C,23750,13.47,False,False,2
268,24,54996,RENT,2.0,PERSONAL,B,23600,11.89,True,False,3
269,24,18000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,10000,12.18,True,False,2
270,23,75000,RENT,3.0,PERSONAL,E,23575,14.5,True,False,4
271,22,18000,OWN,2.0,MEDICAL,C,4000,11.12,True,False,2
272,22,18000,OWN,1.0,MEDICAL,D,5400,15.31,True,True,2
273,25,18000,MORTGAGE,1.0,MEDICAL,B,4000,11.12,True,False,3
274,22,66960,RENT,1.0,VENTURE,A,23400,7.49,True,False,2
275,25,56544,RENT,3.0,EDUCATION,B,23000,11.12,True,False,2
276,23,60000,RENT,2.0,VENTURE,B,23000,12.18,True,False,4
277,24,18000,MORTGAGE,3.0,VENTURE,C,1200,11.34,False,True,4
278,24,65000,RENT,0.0,HOMEIMPROVEMENT,B,23000,11.99,True,False,4
279,22,18000,OWN,1.0,DEBTCONSOLIDATION,B,3000,9.96,True,False,3
280,24,88000,RENT,1.0,VENTURE,D,23000,14.54,True,False,2
281,24,18287,OWN,3.0,HOMEIMPROVEMENT,B,3000,11.99,True,False,3
282,26,69846,RENT,2.0,EDUCATION,F,22500,18.99,True,True,2
283,24,73000,RENT,0.0,VENTURE,E,22400,16.7,True,True,4
284,23,35000,RENT,2.0,DEBTCONSOLIDATION,B,22250,12.69,True,False,3
285,25,52000,RENT,4.0,PERSONAL,B,22000,10.74,True,False,2
286,21,18701,MORTGAGE,0.0,PERSONAL,D,4200,14.11,True,True,4
287,25,58000,RENT,0.0,MEDICAL,C,22000,14.65,True,False,2
288,24,60000,RENT,3.0,VENTURE,C,22000,14.26,True,True,2
289,25,18840,MORTGAGE,5.0,EDUCATION,B,3000,9.91,True,False,2
290,26,56000,RENT,7.0,MEDICAL,E,22000,17.19,True,False,3
291,22,70000,RENT,3.0,EDUCATION,B,22000,11.36,True,False,4
292,22,66000,RENT,1.0,EDUCATION,F,22000,11.12,True,False,2
293,23,74064,RENT,3.0,DEBTCONSOLIDATION,B,22000,10.59,False,False,3
294,24,76597,RENT,5.0,EDUCATION,B,22000,9.25,False,False,2
295,26,77000,RENT,0.0,VENTURE,A,22000,6.54,False,False,3
296,24,80000,RENT,0.0,MEDICAL,A,22000,11.12,False,False,4
297,24,19000,OWN,3.0,MEDICAL,C,7400,13.85,True,False,2
298,25,19000,OWN,3.0,DEBTCONSOLIDATION,A,4000,7.4,True,False,3
299,23,84000,RENT,3.0,DEBTCONSOLIDATION,B,22000,11.71,False,False,4
300,25,82000,RENT,1.0,EDUCATION,E,22000,17.51,True,False,2
301,21,19012,MORTGAGE,0.0,DEBTCONSOLIDATION,D,3500,14.61,True,False,3
302,23,99996,RENT,3.0,DEBTCONSOLIDATION,A,22000,7.88,False,False,4
303,23,110000,RENT,0.0,PERSONAL,B,22000,11.12,False,False,3
304,25,57000,RENT,4.0,PERSONAL,B,21700,11.99,True,False,2
305,24,54000,RENT,5.0,VENTURE,C,21600,13.49,True,False,2
306,26,63000,RENT,2.0,DEBTCONSOLIDATION,C,21600,14.35,True,True,3
307,22,82000,RENT,3.0,PERSONAL,C,21600,13.61,False,True,3
308,22,19200,OWN,0.0,VENTURE,B,2400,10.59,False,False,3
309,25,19200,OWN,4.0,EDUCATION,B,3000,11.99,True,False,4
310,24,59000,RENT,5.0,MEDICAL,D,21500,16.89,True,False,3
311,24,70000,RENT,5.0,HOMEIMPROVEMENT,B,21500,9.99,True,False,3
312,24,116000,RENT,5.0,EDUCATION,D,21500,15.33,False,True,3
313,25,60000,RENT,5.0,EDUCATION,A,21450,7.29,True,False,4
314,25,47052,RENT,5.0,VENTURE,B,21250,10.99,True,False,2
315,22,53000,RENT,3.0,MEDICAL,B,21250,10.25,True,False,3
316,26,19200,OWN,0.0,EDUCATION,B,9250,11.12,True,False,2
317,24,65000,RENT,4.0,EDUCATION,D,21250,15.95,True,True,4
318,26,40000,RENT,3.0,MEDICAL,A,21000,6.54,True,False,4
319,25,19200,OWN,2.0,VENTURE,B,1000,11.12,False,False,3
320,26,42000,RENT,0.0,MEDICAL,F,21000,17.26,True,True,4
321,23,63000,RENT,2.0,MEDICAL,B,21000,11.36,True,False,2
322,26,19200,MORTGAGE,5.0,VENTURE,A,4000,7.51,True,False,4
323,22,59000,RENT,2.0,PERSONAL,B,21000,10.71,True,False,3
324,22,70500,RENT,3.0,PERSONAL,C,21000,13.98,False,True,4
325,22,75000,RENT,2.0,EDUCATION,B,21000,10.0,False,False,3
326,22,19200,MORTGAGE,3.0,MEDICAL,D,5000,15.33,True,False,3
327,23,80000,RENT,3.0,MEDICAL,B,21000,11.99,False,False,3
328,26,85000,RENT,3.0,HOMEIMPROVEMENT,C,21000,13.92,False,False,3
329,22,93000,RENT,1.0,EDUCATION,B,21000,9.91,False,False,3
330,26,97000,RENT,1.0,EDUCATION,A,21000,7.9,False,False,3
331,26,97000,RENT,3.0,EDUCATION,C,21000,11.12,False,True,3
332,25,100000,RENT,2.0,PERSONAL,D,21000,16.49,True,True,3
333,26,19200,OTHER,0.0,PERSONAL,C,7500,11.97,True,True,2
334,26,125000,RENT,5.0,HOMEIMPROVEMENT,A,21000,8.9,False,False,2
335,23,82000,RENT,2.0,PERSONAL,B,20900,12.69,False,False,2
336,21,19500,MORTGAGE,0.0,EDUCATION,B,15000,9.64,True,False,2
337,26,50000,RENT,7.0,VENTURE,A,20500,7.49,True,False,3
338,23,70000,RENT,2.0,EDUCATION,C,20500,13.16,False,True,3
339,22,19800,OWN,1.0,EDUCATION,A,2100,8.38,False,False,4
340,24,33000,RENT,1.0,DEBTCONSOLIDATION,B,20000,10.99,True,False,3
341,23,20000,OWN,0.0,PERSONAL,B,5000,11.71,False,False,4
342,24,35364,RENT,1.0,MEDICAL,B,20000,12.53,True,False,4
343,25,38000,RENT,4.0,MEDICAL,D,20000,14.59,True,False,4
344,23,32000,RENT,3.0,DEBTCONSOLIDATION,D,20000,12.61,True,False,4
345,25,38004,RENT,6.0,MEDICAL,C,20000,13.11,True,False,2
346,23,20000,MORTGAGE,2.0,MEDICAL,B,6400,10.65,False,False,4
347,23,32900,RENT,1.0,EDUCATION,D,20000,16.0,True,False,2
348,24,40000,RENT,4.0,PERSONAL,B,20000,12.53,True,False,3
349,26,20000,MORTGAGE,5.0,MEDICAL,A,4800,5.99,False,False,3
350,25,42000,RENT,2.0,EDUCATION,C,20000,13.47,True,False,4
